context,questions,answers
"if you have forgotten the password, then the same can be changed by selecting the option of forgot password available on the prepaid netbanking login page.",What if you forget your prepaid netbanking login password?,"if you have forgotten the password, then the same can be changed by selecting the option of forgot password available on the prepaid netbanking login page."
"If you forget your prepaid netbanking login user id,the user id will be sent to your registered mobile number and email id.",What if you forget your prepaid netbanking login user id?,"if you have forgot the user id, then the same can be retrieved by selecting the option of forgot user id available on the prepaid netbanking login page. the user id will be sent to your registered mobile number and email id."
"if you get an sms or a call while on hdfc bank app,you can still answer the call or read the sms while hdfc bank app continues to run in the background.",What if you get an sms or a call while on hdfc bank app?,you can still answer the call or read the sms while hdfc bank app continues to run in the background. however current session will expire after 5 minutes of inactive use of the application.
"if you get an sms or a call while on hdfc bank mobilebanking,you can still answer the call or read the sms while hdfc bank mobilebanking continues to run in the background. however current session will expire after 5 minutes of inactive use ofmobilebanking application.",What if you get an sms or a call while on hdfc bank mobilebanking?,you can still answer the call or read the sms while hdfc bank mobilebanking continues to run in the background. however current session will expire after 5 minutes of inactive use ofmobilebanking application.
"if you get disconnected or your mobile phone switches off while on the application,you are automatically logged out and after your handheld is switched on, you can log in and start transacting once again.",What if you get disconnected or your mobile phone switches off while on the application?,"no problem, you are automatically logged out and after your handheld is switched on, you can log in and start transacting once again."
" if you get disconnected or your mobile phone switches off while performing a transaction,you can simply reconnect to hdfc bank mobilebanking and verify your transaction history to check if the transaction has been executed.",What if you get disconnected or your mobile phone switches off while performing a transaction?,you can simply reconnect to hdfc bank mobilebanking and verify your transaction history to check if the transaction has been executed.
"If you have lost/misplaced your slip/instruction booklet, you have to immediately intimate the bank by submitting a letter / stop instruction format (available with the branch) mentioning the details of the slip/booklet lost, duly signed by all the holders and request for a fresh booklet. a ""stop instruction"" will be marked against all the unused slips to avoid misuse of the slips.",What if you have lost/misplaced your slip/instruction booklet?,"you have to immediately intimate the bank by submitting a letter / stop instruction format (available with the branch) mentioning the details of the slip/booklet lost, duly signed by all the holders and request for a fresh booklet. a ""stop instruction"" will be marked against all the unused slips to avoid misuse of the slips."
"if you have not received the otp (one time password) for registration,you will not be able to register your loan if otp is not delivered on your mobile no. please ensure your recent mobile number is updated in banks records. please contact customer service for further details.",What if you have not received the otp (one time password) for registration?,you will not be able to register your loan if otp is not delivered on your mobile no. please ensure your recent mobile number is updated in banks records. please contact customer service for further details.
"you need the money for an emergency,this is a pension plan which accumulates your money for the retirement kitty. since this is for old age, it has a restricted liquidity. you can withdraw maximum up to 1/3rd of the money in case of an emergency after 5 years of commencement of the plan. however, the rest must be converted into annuity, and will be paid periodically. your money is locked with you.",What if you need the money for an emergency? your money is locked with you.,"this is a pension plan which accumulates your money for the retirement kitty. since this is for old age, it has a restricted liquidity. you can withdraw maximum up to 1/3rd of the money in case of an emergency after 5 years of commencement of the plan. however, the rest must be converted into annuity, and will be paid periodically. "
"in case you want to use the hdfc bank mobilebanking application, you will have to re-download the application on your new handset. follow the set of download instructions for this and continue banking on hdfc bank mobilebanking.",What if you want to change your mobile phone device?,"in case you want to use the hdfc bank mobilebanking application, you will have to re-download the application on your new handset. follow the set of download instructions for this and continue banking on hdfc bank mobilebanking."
"If you want to stop an automatic bill payment, you should Contact your biller directly and follow their procedures to cancel or change the method of payment.",What if you want to stop an automatic bill payment?,Contact your biller directly and follow their procedures to cancel or change the method of payment.
"When you report your card as lost or stolen, your account will be assigned a new number and your Paperless Statements enrollment will automatically transfer to your new account.",What if your card is lost or stolen while I’m enrolled in Paperless?,"When you report your card as lost or stolen, your account will be assigned a new number and your Paperless Statements enrollment will automatically transfer to your new account."
"if your Mastercard account information changes,a new expiration date or an upgrade to a new product, be sure to provide each biller with the updated account information in order to prevent an interruption in service. We recommend you keep a list of billers that you pay automatically so you can efficiently update this information when necessary.",What if your Mastercard account information changes?,"If your Mastercard account information changes due to a lost or stolen card, a new expiration date or an upgrade to a new product, be sure to provide each biller with the updated account information in order to prevent an interruption in service. We recommend you keep a list of billers that you pay automatically so you can efficiently update this information when necessary."
"If your question isn't listed here, we recommend you contact the financial institution that issued your card. Look for a customer service number on the back of the card. You can also contact the Mastercard Assistance Center toll free at 1-800-627-8372 or 'Collect' by dialing 1-636-722-7111. If you believe  your question can only be answered by Mastercard, please submit your question here.",What if your question isn't answered here?,"If your question isn't listed here, we recommend you contact the financial institution that issued your card. Look for a customer service number on the back of the card. You can also contact the Mastercard Assistance Center toll free at 1-800-627-8372 or 'Collect' by dialing 1-636-722-7111. If you believe  your question can only be answered by Mastercard, please submit your question here."
"If you want to use the e-monies neft service, you should provide the beneficiary details (name and account number), and the name and ifsc of the beneficiary bank branch.",What information is required to use the e-monies neft service?,"to use this service, you should provide the beneficiary details (name and account number), and the name and ifsc of the beneficiary bank branch."
"the chip card is KeyBank Mastercard® credit cards come embedded with a microchip, which offers more security worldwide. At participating retailers, you can insert your card into a chip reader for added protection. For those without chip technology, you can continue to swipe the magnetic strip on your existing card.",What is a chip card?,"KeyBank Mastercard® credit cards come embedded with a microchip, which offers more security worldwide. At participating retailers, you can insert your card into a chip reader for added protection. For those without chip technology, you can continue to swipe the magnetic strip on your existing card."
"Chip (EMV) cards utilize smart payment technology to store data on integrated circuits in the microchip embedded in the card, enabling an extra level of security over payments made by swiping the magnetic strip.",What is a chip card?,"Chip (EMV) cards utilize smart payment technology to store data on integrated circuits in the microchip embedded in the card, enabling an extra level of security over payments made by swiping the magnetic strip."
A pool account is taken by a registered member of any of the stock exchanges that have direct connectivity with the depositories.  ,What is a clearing member account and how is it different from a beneficiary account?,a registered member of any of the stock exchanges that have direct connectivity with the depositories holds a clearing member account or pool account. a pool account is used by the members to hold securities received from clients and deliver them to clearing corporations. this account is also used to receive securities from the clearing corporations and distribute onwards to clients.
"There are a few ways to set up a  Click to Pay profile:To manage cards and profiles with other payment brands, visit their websites.",What is a Click to Pay profile?,"Creating a Click to Pay profile lets you store your payment information securely in one place so it is there when you need it. Pay quickly and securely anywhere you see the Click to Pay icon at checkout with a participating merchant. There are a few ways to set up a profile:To manage cards and profiles with other payment brands, visit their websites."
"when you register for verified by visa/ mastercard securecode, you are asked to create a personal assurance message/ personal greeting.so when you pay online, always look for your personal assurance message/ personal message to ensure that hdfc bank is authenticating you. ",What is a personal assurance message or personal greeting?,"when you register for verified by visa/ mastercard securecode, you are asked to create a personal assurance message/ personal greeting.so when you pay online, always look for your personal assurance message/ personal message to ensure that hdfc bank is authenticating you. "
"a settlement option is that a under settlement option, you can also take your fund value at maturity in periodical installments. ",What is a settlement option?,"under settlement option, you can also take your fund value at maturity in periodical installments. "
"an hdfc bank diners club black credit card member upon achieving annual spend milestone of rs. 8 lakhs, is eligible for annual memberships of the following partners - club marriott, mmt black, zomato pro, amazon prime, times prime smart, forbes digital subscription.please note – card member will receive the benefits within 30 days of card anniversary date.is an annual membership benefit",What is an annual membership benefit?,"an hdfc bank diners club black credit card member upon achieving annual spend milestone of rs. 8 lakhs, is eligible for annual memberships of the following partners - club marriott, mmt black, zomato pro, amazon prime, times prime smart, forbes digital subscription.please note – card member will receive the benefits within 30 days of card anniversary date."
Bank account verification is a process that we utilize to protect your Credit One Bank account against fraud. We need to verify bank accounts when more than a certain number of payments are made to an account in a month to ensure that no fraudulent activity has taken place.,What is bank account verification and why do you need to verify your bank account?,Bank account verification is a process that we utilize to protect your Credit One Bank account against fraud. We need to verify bank accounts when more than a certain number of payments are made to an account in a month to ensure that no fraudulent activity has taken place.
"Click to Pay is fast, secure online checkout – built with intelligent security and advanced technology by the payment brands you trust.With a Click to Pay profile, you can:",What is Click to Pay and why should you use your Click to Pay profile for online payments?,"Click to Pay is fast, secure online checkout – built with intelligent security and advanced technology by the payment brands you trust.With a Click to Pay profile, you can:"
 the customer id is the unique identification code provided to you by the bank.,What is customer id?,it is the unique identification code provided to you by the bank.
icustomer id is the unique identification code provided to you by the bank.,What is customer id?,it is the unique identification code provided to you by the bank.
it is an electronic visa prepaid card issued to corporate organizations.,What is hdfc bank's foodplus card?,it is an electronic visa prepaid card issued to corporate organizations.
"instaalerts is a very useful facility that sends you information on your banking transactions. the alerts are either event based or frequency based. when you register for certain alerts they are sent to you either via sms or email, or both.",What is instaalerts?,"this is a very useful facility that sends you information on your banking transactions. the alerts are either event based or frequency based. when you register for certain alerts they are sent to you either via sms or email, or both."
Mastercard Nearby is a mobile app that helps you quickly and easily find places where you can get access to cash or make a purchase.,What is Mastercard Nearby?,Mastercard Nearby is a mobile app that helps you quickly and easily find places where you can get access to cash or make a purchase.
"‘with profits’ plans are plans where the premiums are invested in the ‘with profit’ this fund invests in a variety of assets to earn returns on your policy, which are shared with the policyholder’s in the form of bonuses which are declared annually. and once declared these bonuses are guaranteed. ",What is meant by a ‘with profits’ plan?,"‘with profits’ plans are plans where the premiums are invested in the ‘with profit’ this fund invests in a variety of assets to earn returns on your policy, which are shared with the policyholder’s in the form of bonuses which are declared annually. and once declared these bonuses are guaranteed. "
"The disease under the critical illness - platinum plan is a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterized by an identifiable group of signs or symptoms. ",What is meant by disease under the critical illness - platinum plan?,"disease is a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterized by an identifiable group of signs or symptoms. "
organ donor expenses are all the hospitalisation expenses incurred by the donor for the donation of an organ (excluding the cost of the organ) to the insured during the course of an organ transplant. ,What is meant by organ donor expense?,organ donor expenses are all the hospitalisation expenses incurred by the donor for the donation of an organ (excluding the cost of the organ) to the insured during the course of an organ transplant. 
The difference between a pledge and a lien is thatbeneficiary account holders who do not want to sell their shares but wish to avail of advances against dematerialised shares can take loans by marking pledge/lien against those shares.,What is meant by pledge of securities?,"beneficiary account holders who do not want to sell their shares but wish to avail of advances against dematerialised shares can take loans by marking pledge/lien against those shares. there are two parties involved under the pledge, pledgor (borrower) and pledgee (lender). certain set procedures need to be followed in case of a pledge transaction."
neft is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.,What is neft?,the national electronic funds transfer (neft) system is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.
"The Pending Activity section allows you to view real-time pending transactions that have been authorized by a merchant, but have not yet posted to your account. You may also view pending payments which are in process and have not yet posted to your account.",What is Pending Activity?,"The Pending Activity section allows you to view real-time pending transactions that have been authorized by a merchant, but have not yet posted to your account. You may also view pending payments which are in process and have not yet posted to your account."
"When you use the SI instruction， it is one of the modes you can use to repay a loan, wherein your hdfc bank account is directly debited for the emi amounts, based on your specific instructions in the form of the standing instructions mandate.",What is si?,"si stands for standing instructions. it is one of the modes you can use to repay a loan, wherein your hdfc bank account is directly debited for the emi amounts, based on your specific instructions in the form of the standing instructions mandate."
Strong Customer Authentication (also known as SCA) is the process we will use to establish that it is really you when you try to access your savings account with us.,What is Strong Customer Authentication (SCA)?,Strong Customer Authentication (also known as SCA) is the process we will use to establish that it is really you when you try to access your savings account with us.
"the age limit for sukanya samriddhi yojana is that the girl child will have to be under 10 years of age. the ssy scheme will continue until she turns 21, or till she is married, whichever is earlier.",What is the age limit for sukanya samriddhi yojana?,"the girl child will have to be under 10 years of age. the ssy scheme will continue until she turns 21, or till she is married, whichever is earlier."
The view all is that use the top slider bar to select that service,What is the All tab on the top slider bar?,"The All view shows all the services you selected. If you wish to view only a single service at a time, use the top slider bar to select that service."
an institutional savings account is a zero balance account.,What is the amb (average monthly balance) requirement of the institutional savings account?,an institutional savings account is a zero balance account.
"If you want to know what is the annual suitability and why is it important,we will ask you to review  your financial circustances to make sure it's still right fou you.",What is the annual suitability review and why is it important?,"At least once a year, from the date of your last Investment Plan, we’ll ask you to review your financial circumstances to make sure it’s still right for you. We’ll let you know when this is due and all you have to do is hit the ‘Update’ button next to your affordability information on the ‘Payments’ tab in your Plan & Invest Hub in Online Banking or the Barclays app."
"When you cancel，the policy can be cancelled with a notice period of 30 days. the premium paid by you will be returned on a pro-rata basis or 25% of the annual premium, whichever is higher will be retained. any cancellation request sent after 30 days of commencement of the policy will be refunded on a pro-rata basis. 
",What is the cancellation procedure?,"the policy can be cancelled with a notice period of 30 days. the premium paid by you will be returned on a pro-rata basis or 25% of the annual premium, whichever is higher will be retained. any cancellation request sent after 30 days of commencement of the policy will be refunded on a pro-rata basis. "
"the discounted premium on higher sum assured,there would be rebates in the form of lower premium rates for incremental sum insured over & above rs. 10,00,000.",What is the discounted premium on higher sum assured?,"there would be rebates in the form of lower premium rates for incremental sum insured over & above rs. 10,00,000."
"the duration of the policy term in case you choose 'endowment' or 'endowment with whole life' option, the period at the end of which the maturity benefit will be paid. one can choose a policy term of 15 to 40 years. in case of “endowment” option, the life insurance cover will cease after policy term.

in case of “endowment with whole life”, the life insurance cover shall continue even after the policy term, till the age of 100 years. ",What is the duration of the policy term in case you choose 'endowment' or 'endowment with whole life' option?,"policy term is the period at the end of which the maturity benefit will be paid. one can choose a policy term of 15 to 40 years. in case of “endowment” option, the life insurance cover will cease after policy term.

in case of “endowment with whole life”, the life insurance cover shall continue even after the policy term, till the age of 100 years. "
The hdfc bank apollo medical benefits card is an electronic prepaid card issued to corporate organizations for offering medical allowance/reimbursement to their employees.,What is the hdfc bank apollo medical benefits card?,it is an electronic prepaid card issued to corporate organizations for offering medical allowance/reimbursement to their employees. 
it is an electronic prepaid card issued to corporate organizations.,What is the hdfc bank moneyplus card?,it is an electronic prepaid card issued to corporate organizations.
diners club black card members can enjoy unlimited complimentary airport lounge access to over 1000 partner lounges worldwide. lounge visit is complimentary for both primary and add-on card holders.please note: add-on card member must present the add-on card at the lounge for the benefit.,What is the lounge access benefit on your card?,diners club black card members can enjoy unlimited complimentary airport lounge access to over 1000 partner lounges worldwide. lounge visit is complimentary for both primary and add-on card holders.please note: add-on card member must present the add-on card at the lounge for the benefit.
the maximum amount that can be paid through directpay is rs.10 lakhs per customer id per day. ,What is the maximum amount that can be paid through directpay?,the maximum amount that can be paid through directpay is rs.10 lakhs per customer id per day. 
you can borrow with an hdfc bank new car loans up to 3 times your annual salary if you are a salaried professional and 6 times your annual income if you are a self-employed professional **.**offers on specific models .terms & conditions apply.,What is the maximum amount you can borrow with an hdfc bank new car loans?,you can borrow up to 3 times your annual salary if you are a salaried professional and 6 times your annual income if you are a self-employed professional **.**offers on specific models .terms & conditions apply.
"10,000 for each egiftplus card is the maximum amount you can load on the hdfc bank egiftplus card",What is the maximum amount you can load on the hdfc bank egiftplus card?,"for hdfc bank customers, rs.50,000 for non-hdfc bank customers, rs.10,000 for each egiftplus card. "
maximum count of notes which can be withdrawn from the atm per transaction are 40.,What is the maximum count of notes which can be withdrawn from the atm in one transaction?,maximum count of notes which can be withdrawn from the atm per transaction are 40.
"to study in india, the maximum loan you can get is upto rs. 10 lacs.",What is the maximum loan amount you can get for studies in india?,"to study in india, the maximum loan you can get is upto rs. 10 lacs."
the membership fee for the hdfc bank business gold credit card is the joining fee is rs. 199 and the annual renewal membership fee is rs 199.,What is the membership fee for the hdfc bank business gold credit card?,the joining fee is rs. 199 and the annual renewal membership fee is rs 199. 
the membership fee for the hdfc bank business platinum credit card is the joining fee is rs. 299 and the annual renewal membership fee is rs. 299,What is the membership fee for the hdfc bank business platinum credit card?,the joining fee is rs. 299 and the annual renewal membership fee is rs. 299 
"you can choose minimum of rs. 2,00,000 and maximum of rs. 5,00,000 aggregate deductible in this policy.",What is the minimum and maximum deductible in this plan?,"you can choose minimum of rs. 2,00,000 and maximum of rs. 5,00,000 aggregate deductible in this policy."
"the mode of repayment (education loans for foreign education)is that you have the option of repaying the loan through a standing instruction, ecs or post-dated cheques.",What is the mode of repayment (education loans for foreign education)?,"you have the option of repaying the loan through a standing instruction, ecs or post-dated cheques."
 The mode of repayment is that you have the option of repaying the loan through an ecs.,What is the mode of repayment?,you have the option of repaying the loan through an ecs.
 the policy term available in this plan is that capital shield provides a policy term of 10 years. ,What is the policy term available in this plan?,capital shield provides a policy term of 10 years. 
"the policy term available under this product is a fixed policy term of 5 years. further, you shall only pay premiums for the benefit(s) as long as the complete payout for that benefit has not happened. the policyholder shall have the option to choose one of the above plan options only at the time of policy inception.",What is the policy term available under this product?,"there is a fixed policy term of 5 years. further, you shall only pay premiums for the benefit(s) as long as the complete payout for that benefit has not happened. the policyholder shall have the option to choose one of the above plan options only at the time of policy inception. "
"the procedure for nomination is the nomination form duly filled should be submitted either at the time of opening your account or later. the account holder, nominee and two witnesses must sign this form and the name, address and photograph of the nominee must be submitted.",What is the procedure for nomination?,"the nomination form duly filled should be submitted either at the time of opening your account or later. the account holder, nominee and two witnesses must sign this form and the name, address and photograph of the nominee must be submitted."
" if you want to change your existing signature but are unable to sign due to old age/paralytic stroke,you have to give a request letter mentioning the facts, affidavit on rs. 100 stamp paper with your thumb impression duly attested by a gazetted officer/ notary, your proof of identity and a doctor's certificate. however, your thumb impressions on subsequent instructions/ requests have to be notarised before submitting any documents to the depository participant.",What is the procedure to be followed if you want to change your existing signature but are unable to sign due to old age/paralytic stroke?,"you have to give a request letter mentioning the facts, affidavit on rs. 100 stamp paper with your thumb impression duly attested by a gazetted officer/ notary, your proof of identity and a doctor's certificate. however, your thumb impressions on subsequent instructions/ requests have to be notarised before submitting any documents to the depository participant."
"you have to give a request letter clearly defining your old and new signatures, your proof of identity and a specimen signature card with your new signature. you have to state the reason for your new signature.",What is the procedure to be followed if you want to change your existing signature recorded with the dp?,"you have to give a request letter clearly defining your old and new signatures, your proof of identity and a specimen signature card with your new signature. you have to state the reason for your new signature."
"we request you to contact the bank using phone banking (available 24x7), where you can hotlist your card immediately and simultaneously request for re-issuance of a new card.you may also submit a written instruction at the nearest branch to hotlist and re-issuance of atm / debit card. replacement/reissuance charges for debit cards - rs. 200 + applicable taxes (w.e.f 1st dec’16).",What is the procedure to replace a damaged debit card?,"we request you to contact the bank using phone banking (available 24x7), where you can hotlist your card immediately and simultaneously request for re-issuance of a new card.you may also submit a written instruction at the nearest branch to hotlist and re-issuance of atm / debit card. replacement/reissuance charges for debit cards - rs. 200 + applicable taxes (w.e.f 1st dec’16)."
"If your bank account is debited and talk-time linit is not increased/dth t.v is not recharged,the amount will be reversed intu your bank account within 3 working days.",What is the process if your bank account is debited and talk-time limit is not increased / dth t.v is not recharged?,"incase the recharge amount is debited from your bank account and talk-time limit is not increased / dth t.v is not recharged for any reason, the amount will be reversed into your bank account within 3 working days."
"the rate of guaranteed additions that s available in this policy is provided the policy is in force and all due premiums have been paid, you will receive guaranteed additions of 3% p.a for the first 5 years of your policy over and above the bonus that will be declared.",What is the rate of guaranteed additions that s available in this policy?,"provided the policy is in force and all due premiums have been paid, you will receive guaranteed additions of 3% p.a for the first 5 years of your policy over and above the bonus that will be declared. "
The fixed interest rates is that the rates vary on the basis of car models and tenure selected.,What is the rate of interest on auto loans and is it fixed or floating?,we offer fixed interest rates and the rates vary on the basis of car models and tenure selected.
"the rate of interest you will earn on the balance in your savings account 4.00% p.a. on a daily end of day balance, w.e.f. may 3, 2011.",What is the rate of interest you will earn on the balance in your savings account?,"interest on a savings account is paid at 4.00% p.a. on a daily end of day balance, w.e.f. may 3, 2011. "
You can submit potential security vulnerabilities to us through our Bug Bounty programs (on Bugcrowd.com) for consideration of rewards. Reward-related details are available on https://bugcrowd.com/mastercard. Please note that information provided through a Mastercard email address (security@mastercard.com) is not eligible for compensation under our vulnerability reporting program.,What is the reward process for reported vulnerabilities?,You can submit potential security vulnerabilities to us through our Bug Bounty programs (on Bugcrowd.com) for consideration of rewards. Reward-related details are available on https://bugcrowd.com/mastercard. Please note that information provided through a Mastercard email address (security@mastercard.com) is not eligible for compensation under our vulnerability reporting program.
security of the loan would generally be security interest on the property being financed by us and / or any other collateral / interim security as may be required by us.,What is the security that you have to provide for a top up loan ?,security of the loan would generally be security interest on the property being financed by us and / or any other collateral / interim security as may be required by us.
"the ssy scheme was launched by the central government under its `betibachao, betipadhao’ campaign. the fund was established as a way to enable parents to fund the education of the girl child and/ or for her marriage expenses.",What is the sukanya samriddhi yojana (ssy) scheme?,"the ssy scheme was launched by the central government under its `betibachao, betipadhao’ campaign. the fund was established as a way to enable parents to fund the education of the girl child and/ or for her marriage expenses."
"the sweep-in facility is all about a cluster deposit (held in units of re.1). we will automatically break units of term deposits held by you, if there are insufficient funds in your sweep-in savings/current account to clear a cheque.the same will happen when you wish to withdraw money using your atm card and there are insufficient funds in the account.",What is the sweep-in facility all about?,"the sweep-in facility is a cluster deposit (held in units of re.1). we will automatically break units of term deposits held by you, if there are insufficient funds in your sweep-in savings/current account to clear a cheque.the same will happen when you wish to withdraw money using your atm card and there are insufficient funds in the account."
When your booking with bookMyShow 25% discount is limited，You should knowa cardholder can purchase a maximum of 4 discounted tickets per card per month.a maximum discount of rs 350 can be availed per transaction by cardholdera discount of rs 50 on food and beverage can be availed only once by the user,What is the ticket booking limit on using 25% discount on bookmyshow?,a cardholder can purchase a maximum of 4 discounted tickets per card per month.a maximum discount of rs 350 can be availed per transaction by cardholdera discount of rs 50 on food and beverage can be availed only once by the user
transaction dispute needs to be reported in writing within 60 days from the statement date in which the said transaction appears.,What is the time frame to report credit card transaction dispute?,transaction dispute needs to be reported in writing within 60 days from the statement date in which the said transaction appears.
 The time frame to report debit card transaction dispute is that transaction dispute needs to be reported in writing within 30 days from the transaction date.,What is the time frame to report debit card transaction dispute?,transaction dispute needs to be reported in writing within 30 days from the transaction date.
 the validity period of your card is 5 years.,What is the validity period of your card?,your card is valid for 5 years.
top up option provides for a systematic increase of your cover from 1st policy anniversary onwards. this option is available under all plan options and has to be opted at policy inception,What is top up option?,this option provides for a systematic increase of your cover from 1st policy anniversary onwards. this option is available under all plan options and has to be opted at policy inception. 
"physical certificates jointly held can be dematted in a demat account held by the same holders, irrespectively of the order of holding in the demat account, if the demat request is accompanied by a transposition cum demat form. for eg: physical certificates held by a and b or by a, b and c can be submitted for demat to a demat account held by b and a or by c, b and a respectively.",What is transposition cum demat?,"physical certificates jointly held can be dematted in a demat account held by the same holders, irrespectively of the order of holding in the demat account, if the demat request is accompanied by a transposition cum demat form. for eg: physical certificates held by a and b or by a, b and c can be submitted for demat to a demat account held by b and a or by c, b and a respectively."
you can find the infoemation about your Annual Percentage Rate (APR) under 'Rate Summary' in the 'Posted Activity' section.  ,What is your Annual Percentage Rate (APR) and where can you find this information?,APRs for purchases and cash advances from prior statement periods are listed under 'Rate Summary' in the 'Posted Activity' section.
"if you  requrie  documentation，the best part of this policy is that it has hassle free documentation. all you need to do is fill the complete proposal form with relevant details and sign it .tick any one plan and attach a cheque or fill the credit card details in the form. 
",What kind of documentation is required?,the best part of this policy is that it has hassle free documentation. all you need to do is fill the complete proposal form with relevant details and sign it .tick any one plan and attach a cheque or fill the credit card details in the form. 
These kinds of taxes that the delhi value added tax (dvat) and central sales tax (cst) can be paid online through hdfc bank. ,What kinds of taxes are paid online?,the delhi value added tax (dvat) and central sales tax (cst) can be paid online through hdfc bank. 
"your tin number, complete name, address and period of payment are some of the compulsory fields to be filled in the online challan. ",What needs to be compulsorily filled on the challan?,"your tin number, complete name, address and period of payment are some of the compulsory fields to be filled in the online challan. "
Contact 1.800.MASTERCARD (1.800.627.8372) if you need help or have any questions as you navigate the app.,What number can you call if you need help?,Contact 1.800.MASTERCARD (1.800.627.8372) if you need help or have any questions as you navigate the app.
"under different plan options you  will get the table below specifies the series of money back/endowment payouts, payable at the end of each year, for a premium paying or a fully paid-up policy.",What payouts will you get under different plan options?,"the table below specifies the series of money back/endowment payouts, payable at the end of each year, for a premium paying or a fully paid-up policy."
"if  you  under the revive policy for personal accident ，hdfc ergo offers a wide range of sums insured ranging from rs. 2.5 lakhs to rs. 15 lakhs, with four plan options to choose from:self planself and family planself + dependent parents add-onself and family + dependent parents add-on ",What plans are available under the revive policy for personal accident ?,"hdfc ergo offers a wide range of sums insured ranging from rs. 2.5 lakhs to rs. 15 lakhs, with four plan options to choose from:self planself and family planself + dependent parents add-onself and family + dependent parents add-on "
"if property can be considered as collateral for larr,you can provide commercial property (shops & offices) leased to reputed lessees as collateral for a loan against rent receivables.",What property can be considered as collateral for larr?,you can provide commercial property (shops & offices) leased to reputed lessees as collateral for a loan against rent receivables.
The cost of a co-brand partnership depends on the goals and budget of the partner company.,What role does Mastercard play in developing a co-brand program?,"That depends on the goals and budget of the partner company. However, Mastercard has a dedicated staff of highly experienced co-brand specialists who can help a company evaluate and establish a co-brand partnership that will meet the objectives of all parties involved."
Your FICO® Score is calculated based on data from Equifax using the FICO® Bankcard Score 8 model and is the same score we use to make credit decisions to existing accounts. This model has a FICO® Score range from 250 through 900.,What score model was used to calculate your score?,Your FICO® Score is calculated based on data from Equifax using the FICO® Bankcard Score 8 model and is the same score we use to make credit decisions to existing accounts. This model has a FICO® Score range from 250 through 900.
"to obtain the loan, there is absolutely no need to provide any security or collateral.",What security do you need to provide to obtain a business growth loan?,"to obtain the loan, there is absolutely no need to provide any security or collateral."
There are a lot of things to weigh up before you decide to transfer. Only you can decide if a transfer is right for you. Much will depend on the type of ISA you have – is it flexible? Have you used that flexibility in the current tax year? Is it a cash ISA or a stocks and shares ISA?,What should you consider before deciding to transfer an ISA?,There are a lot of things to weigh up before you decide to transfer. Only you can decide if a transfer is right for you. Much will depend on the type of ISA you have – is it flexible? Have you used that flexibility in the current tax year? Is it a cash ISA or a stocks and shares ISA?
"you can lodge a complaint with the card issuing bank. if during the cash withdrawal process, you don’t receive cash from the atm but your account is still debited for the amount,this is applicable even if the transaction was carried out at another bank’s atm.","What should you do if during the cash withdrawal process, you don’t receive cash from the atm but your account is still debited for the amount?",you can lodge a complaint with the card issuing bank. this is applicable even if the transaction was carried out at another bank’s atm.
"If you accidentally entered an incorrect billing address for your non-BECU card account,you can call us at 800.233.2328 during regular business hours.",What should you do if you accidentally entered an incorrect billing address for your non-BECU card account?,Call us at 800.233.2328 during regular business hours.
"If you forget your pin or your card gets stuck in an atm machine, you should contact your card issuing bank branch immediately and apply for its retrieval or request for a new card/pin. while requesting for a new card, please ensure that the old card is blocked.",What should you do if you forget your pin or your card gets stuck in an atm machine?,"if this happens you should contact your card issuing bank branch immediately and apply for its retrieval or request for a new card/pin. while requesting for a new card, please ensure that the old card is blocked."
"if you have a transaction dispute related to COVID-19,For questions on dispute resolution during COVID-19, please review frequently asked questions and best practices here.",What should you do if you have a transaction dispute related to COVID-19?,"For questions on dispute resolution during COVID-19, please review frequently asked questions and best practices here."
"if your multicurrency platinum forexplus chip card has expired but there is an unutilised balance on the card,if your card has expired before all funds have been utilised, you can contact hdfc bank phonebanking or any of our hdfc bank branch for placing a refund request of the un-utilised balance. in case you wish you get a replacement card, you can place a request at any of our hdfc bank branch",What should you do if your multicurrency platinum forexplus chip card has expired but there is an unutilised balance on the card?,"if your card has expired before all funds have been utilised, you can contact hdfc bank phonebanking or any of our hdfc bank branch for placing a refund request of the un-utilised balance. in case you wish you get a replacement card, you can place a request at any of our hdfc bank branch"
"if your regalia forexplus card has expired but there is an unutilised balance on the card,you can contact hdfc bank phone banking or any of our hdfc bank branch for placing a refund request of the un-utilised balance. in case you wish you get a replacement card, you can place a request at any of our hdfc bank branch",What should you do if your regalia forexplus card has expired but there is an unutilised balance on the card?,"if your card has expired before all funds have been utilised, you can contact hdfc bank phone banking or any of our hdfc bank branch for placing a refund request of the un-utilised balance. in case you wish you get a replacement card, you can place a request at any of our hdfc bank branch"
